risk_score,decision,explanation,employee_id
0.4508862099801665,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [-0.000724886275267865, 0.0, 0.0, 0.02384511023622748, -0.009967691183958991, 0.0]}",0
0.5292567570753178,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.008776020453908046, 0.0, 0.0, -0.05619756569853577, -0.017796469073523, 0.0]}",10
0.47842100604608173,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.012350063245339202, 0.0, 0.0, 0.017384559997768514, -0.04411688653202234, 0.0]}",18
0.47585324786498717,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.015748368756534542, 0.0, 0.0, 0.0180933285490215, -0.045656202413376104, 0.0]}",103
0.5289628863701208,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.010317415149915715, 0.0, 0.0, -0.04399002261421232, -0.031251536148657076, 0.0]}",108
0.4533257632778179,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0036165949417713977, 0.0, 0.0, 0.022667931235228582, -0.015571546697650741, 0.0]}",100
0.501065102258437,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [-0.005426102264728248, 0.0, 0.0, 0.017086997465633837, -0.04868725470217551, 0.0]}",100
0.5146904175623204,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [-0.020277733548570945, 0.0, 0.0, 0.013989962868979952, -0.044363904125562265, 0.0]}",7
0.47842100604608173,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.012350063245339202, 0.0, 0.0, 0.017384559997768514, -0.04411688653202234, 0.0]}",27
0.5289628863701208,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.010317415149915715, 0.0, 0.0, -0.04399002261421231, -0.03125153614865708, 0.0]}",13
0.47842100604608173,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.012350063245339202, 0.0, 0.0, 0.017384559997768514, -0.04411688653202234, 0.0]}",33
0.5332290628805472,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [-0.0019089561547874084, 0.0, 0.0, -0.036994242903682764, -0.030287121064909883, 0.0], 'input_data': {'login_hour': 16, 'location_change': 1, 'network': 1, 'sensitive': 1, 'records': 1500, 'download': 1}, 'reason': 'Model detected behavioral anomaly based on input patterns'}",60
0.47585324786498717,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.015748368756534542, 0.0, 0.0, 0.0180933285490215, -0.045656202413376104, 0.0], 'input_data': {'login_hour': 12, 'location_change': 0, 'network': 0, 'sensitive': 0, 'records': 7000, 'download': 1}, 'reason': 'Model detected behavioral anomaly based on input patterns'}",103
0.5289628863701208,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.010317415149915715, 0.0, 0.0, -0.04399002261421232, -0.031251536148657076, 0.0], 'input_data': {'login_hour': 12, 'location_change': 0, 'network': 0, 'sensitive': 1, 'records': 7015, 'download': 1}, 'reason': 'Model detected behavioral anomaly based on input patterns'}",108
0.4533257632778179,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0036165949417713977, 0.0, 0.0, 0.022667931235228582, -0.015571546697650741, 0.0], 'input_data': {'login_hour': 14, 'location_change': 0, 'network': 0, 'sensitive': 0, 'records': 0, 'download': 1}, 'reason': 'Model detected behavioral anomaly based on input patterns'}",100
0.501065102258437,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [-0.005426102264728248, 0.0, 0.0, 0.017086997465633837, -0.04868725470217551, 0.0], 'input_data': {'login_hour': 0, 'location_change': 1, 'network': 0, 'sensitive': 0, 'records': 1000, 'download': 0}, 'reason': 'Model detected behavioral anomaly based on input patterns'}",100
0.5479925258622654,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [-0.008162473360630917, 0.0, 0.0, -0.0423017711868838, -0.03348953855758361, 0.0], 'input_data': {'login_hour': 9, 'location_change': 1, 'network': 0, 'sensitive': 1, 'records': 1000, 'download': 0}, 'reason': 'Model detected behavioral anomaly based on input patterns'}",101
0.5479925258622654,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [-0.008162473360630876, 0.0, 0.0, -0.04230177118688383, -0.03348953855758362, 0.0], 'input_data': {'login_hour': 9, 'location_change': 1, 'network': 1, 'sensitive': 1, 'records': 1000, 'download': 1}, 'reason': 'Model detected behavioral anomaly based on input patterns'}",102
0.48386591556618797,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.012883777342680154, 0.0, 0.0, 0.01758442797777421, -0.05029537812947522, 0.0], 'input_data': {'login_hour': 10, 'location_change': 1, 'network': 0, 'sensitive': 0, 'records': 1000, 'download': 0}, 'reason': 'Model detected behavioral anomaly based on input patterns'}",2
0.44845911970784097,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.00732841763049673, 0.0, 0.0, 0.023371390036938063, -0.015120184618108651, 0.0], 'input_data': {'login_hour': 13, 'location_change': 1, 'network': 0, 'sensitive': 0, 'records': 0, 'download': 0}, 'reason': 'Model detected behavioral anomaly based on input patterns'}",13
0.55,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0082, 0.0, 0.0, 0.0423, 0.0335, 0.0], 'input_data': {'login_hour': 9, 'location_change': 1, 'network': 1, 'sensitive': 1, 'records': 1000, 'download': 1}, 'reason': 'Location changed, Using unsecured network, Sensitive data accessed, Download attempt detected'}",1001
0.48,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0157, 0.0, 0.0, 0.0181, 0.0457, 0.0], 'input_data': {'login_hour': 12, 'location_change': 0, 'network': 0, 'sensitive': 0, 'records': 7000, 'download': 1}, 'reason': 'High volume data access, Download attempt detected'}",103
0.53,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0103, 0.0, 0.0, 0.044, 0.0313, 0.0], 'input_data': {'login_hour': 12, 'location_change': 0, 'network': 0, 'sensitive': 1, 'records': 7015, 'download': 1}, 'reason': 'Sensitive data accessed, High volume data access, Download attempt detected'}",108
0.45,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0036, 0.0, 0.0, 0.0227, 0.0156, 0.0], 'input_data': {'login_hour': 14, 'location_change': 0, 'network': 0, 'sensitive': 0, 'records': 0, 'download': 1}, 'reason': 'Download attempt detected'}",100
0.5,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0054, 0.0, 0.0, 0.0171, 0.0487, 0.0], 'input_data': {'login_hour': 0, 'location_change': 1, 'network': 0, 'sensitive': 0, 'records': 1000, 'download': 0}, 'reason': 'Unusual login time, Location changed'}",100
0.5,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0054, 0.0, 0.0, 0.0171, 0.0487, 0.0], 'input_data': {'login_hour': 9, 'location_change': 1, 'network': 0, 'sensitive': 0, 'records': 2000, 'download': 0}, 'reason': 'Location changed'}",3
0.5,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0054, 0.0, 0.0, 0.0171, 0.0487, 0.0], 'input_data': {'login_hour': 9, 'location_change': 0, 'network': 0, 'sensitive': 0, 'records': 2000, 'download': 0}, 'reason': 'Normal behavior'}",3
0.5,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0054, 0.0, 0.0, 0.0171, 0.0487, 0.0], 'input_data': {'login_hour': 9, 'location_change': 0, 'network': 0, 'sensitive': 0, 'records': 2000, 'download': 0}, 'reason': 'Normal behavior'}",4
0.54,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0046, 0.0, 0.0, 0.0557, 0.0149, 0.0], 'input_data': {'login_hour': 0.35, 'location_change': 1, 'network': 1, 'sensitive': 1, 'records': 0.12, 'download': 1}, 'reason': 'Unusual login time, Location changed, Using unsecured network, Sensitive data accessed, Download attempt detected'}",100
0.2,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0007, 0.0, 0.0, 0.0238, 0.01, 0.0], 'input_data': {'login_hour': 0.52, 'location_change': 1, 'network': 0, 'sensitive': 0, 'records': 0.1, 'download': 0}, 'reason': 'Unusual login time, Location changed'}",1002
0.4,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0007, 0.0, 0.0, 0.0238, 0.01, 0.0], 'input_data': {'login_hour': 0.52, 'location_change': 0, 'network': 0, 'sensitive': 0, 'records': 0.7, 'download': 1}, 'reason': 'Unusual login time, Download attempt detected'}",103
0.6000000000000001,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0046, 0.0, 0.0, 0.0557, 0.0149, 0.0], 'input_data': {'login_hour': 0.52, 'location_change': 0, 'network': 0, 'sensitive': 1, 'records': 0.7, 'download': 1}, 'reason': 'Unusual login time, Sensitive data accessed, Download attempt detected'}",108
0.3,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0007, 0.0, 0.0, 0.0238, 0.01, 0.0], 'input_data': {'login_hour': 0.61, 'location_change': 0, 'network': 0, 'sensitive': 0, 'records': 0.0, 'download': 1}, 'reason': 'Unusual login time, Download attempt detected'}",100
0.4,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0007, 0.0, 0.0, 0.0238, 0.01, 0.0], 'input_data': {'login_hour': 0.0, 'location_change': 1, 'network': 0, 'sensitive': 0, 'records': 0.1, 'download': 0}, 'reason': 'Unusual login time, Location changed'}",100
0,LOW RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0007, 0.0, 0.0, 0.0238, 0.01, 0.0], 'input_data': {'login_hour': 0.61, 'location_change': 0, 'network': 0, 'sensitive': 0, 'records': 0.0, 'download': 0}, 'reason': 'Unusual login time'}",2
0.2,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0007, 0.0, 0.0, 0.0238, 0.01, 0.0], 'input_data': {'login_hour': 0.39, 'location_change': 1, 'network': 0, 'sensitive': 0, 'records': 0.2, 'download': 0}, 'reason': 'Unusual login time, Location changed'}",8
0.7,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0007, 0.0, 0.0, 0.0238, 0.01, 0.0], 'input_data': {'login_hour': 0.39, 'location_change': 1, 'network': 1, 'sensitive': 0, 'records': 0.2, 'download': 1}, 'reason': 'Unusual login time, Location changed, Using unsecured network, Download attempt detected'}",8
0.4,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0007, 0.0, 0.0, 0.0238, 0.01, 0.0], 'input_data': {'login_hour': 0.52, 'location_change': 0, 'network': 0, 'sensitive': 0, 'records': 0.7, 'download': 1}, 'reason': 'Unusual login time, Download attempt detected'}",103
0.6000000000000001,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0046, 0.0, 0.0, 0.0557, 0.0149, 0.0], 'input_data': {'login_hour': 0.52, 'location_change': 0, 'network': 0, 'sensitive': 1, 'records': 0.7, 'download': 1}, 'reason': 'Unusual login time, Sensitive data accessed, Download attempt detected'}",108
0.3,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0007, 0.0, 0.0, 0.0238, 0.01, 0.0], 'input_data': {'login_hour': 0.61, 'location_change': 0, 'network': 0, 'sensitive': 0, 'records': 0.0, 'download': 1}, 'reason': 'Unusual login time, Download attempt detected'}",100
0.4,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0007, 0.0, 0.0, 0.0238, 0.01, 0.0], 'input_data': {'login_hour': 0.0, 'location_change': 1, 'network': 0, 'sensitive': 0, 'records': 0.1, 'download': 0}, 'reason': 'Unusual login time, Location changed'}",100
0.5,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0007, 0.0, 0.0, 0.0238, 0.01, 0.0], 'input_data': {'login_hour': 0.52, 'location_change': 1, 'network': 0, 'sensitive': 0, 'records': 0.0, 'download': 1}, 'reason': 'Unusual login time, Location changed, Download attempt detected'}",3
0.4,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0046, 0.0, 0.0, 0.0557, 0.0149, 0.0], 'input_data': {'login_hour': 0.48, 'location_change': 1, 'network': 0, 'sensitive': 1, 'records': 0.1, 'download': 0}, 'reason': 'Unusual login time, Location changed, Sensitive data accessed'}",45
0.4,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0007, 0.0, 0.0, 0.0238, 0.01, 0.0], 'input_data': {'login_hour': 0.52, 'location_change': 0, 'network': 0, 'sensitive': 0, 'records': 0.7, 'download': 1}, 'reason': 'Unusual login time, Download attempt detected'}",103
0.6000000000000001,HIGH RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0046, 0.0, 0.0, 0.0557, 0.0149, 0.0], 'input_data': {'login_hour': 0.52, 'location_change': 0, 'network': 0, 'sensitive': 1, 'records': 0.7, 'download': 1}, 'reason': 'Unusual login time, Sensitive data accessed, Download attempt detected'}",108
0.3,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0007, 0.0, 0.0, 0.0238, 0.01, 0.0], 'input_data': {'login_hour': 0.61, 'location_change': 0, 'network': 0, 'sensitive': 0, 'records': 0.0, 'download': 1}, 'reason': 'Unusual login time, Download attempt detected'}",100
0.4,MEDIUM RISK,"{'message': 'AI-based anomaly detection', 'feature_importance': [0.0007, 0.0, 0.0, 0.0238, 0.01, 0.0], 'input_data': {'login_hour': 0.0, 'location_change': 1, 'network': 0, 'sensitive': 0, 'records': 0.1, 'download': 0}, 'reason': 'Unusual login time, Location changed'}",100
